2026-08-29 22:47:04,436 | INFO | main | Performance (last 60 frames): average FPS 53.30, median frame 80.48 ms, p95 frame 96.03 ms, dropped frames 28, pacing error 0.01 ms, scheduled 50797.552049, actual 50797.552056, late 0, generated-late drops 51, real-late drops 0, source 24.09 FPS, presentation 50.94 FPS, state running, stages capture 33.85 ms, processing 2.80 ms, RIFE 28.63 ms, retries 0, recoveries 0, recovery failures 0, fallbacks 0.
2026-08-29 22:47:04,436 | INFO | main | Preview refinement: previous sample 7.59 ms
2026-08-29 22:47:06,696 | INFO | frame_interpolator | RIFE stages (138 calls, 160x90 inference): preprocess 4.85 ms, inference 19.27 ms, postprocess 5.75 ms, total 29.87 ms, confidence 43.0%
2026-08-29 22:47:09,455 | INFO | main | Performance (last 60 frames): average FPS 52.02, median frame 77.75 ms, p95 frame 101.37 ms, dropped frames 39, pacing error 0.01 ms, scheduled 50802.570054, actual 50802.570060, late 0, generated-late drops 83, real-late drops 0, source 24.76 FPS, presentation 49.82 FPS, state running, stages capture 32.43 ms, processing 2.62 ms, RIFE 28.43 ms, retries 0, recoveries 0, recovery failures 0, fallbacks 0.
2026-08-29 22:47:09,455 | INFO | main | Preview refinement: previous sample 5.39 ms
2026-08-29 22:47:11,705 | INFO | frame_interpolator | RIFE stages (139 calls, 160x90 inference): preprocess 4.97 ms, inference 18.40 ms, postprocess 5.86 ms, total 29.23 ms, confidence 49.2%
2026-08-29 22:47:14,468 | INFO | main | Performance (last 60 frames): average FPS 49.74, median frame 78.70 ms, p95 frame 95.35 ms, dropped frames 49, pacing error 0.01 ms, scheduled 50807.582526, actual 50807.582537, late 0, generated-late drops 101, real-late drops 0, source 25.12 FPS, presentation 51.94 FPS, state running, stages capture 32.75 ms, processing 2.84 ms, RIFE 29.13 ms, retries 0, recoveries 0, recovery failures 0, fallbacks 0.
2026-08-29 22:47:14,468 | INFO | main | Preview refinement: previous sample 3.77 ms
2026-08-29 22:47:16,726 | INFO | frame_interpolator | RIFE stages (140 calls, 160x90 inference): preprocess 4.97 ms, inference 18.57 ms, postprocess 6.00 ms, total 29.55 ms, confidence 36.5%
2026-08-29 22:47:19,501 | INFO | main | Performance (last 60 frames): average FPS 54.73, median frame 74.90 ms, p95 frame 103.05 ms, dropped frames 58, pacing error 0.01 ms, scheduled 50812.617819, actual 50812.617826, late 0, generated-late drops 120, real-late drops 0, source 25.13 FPS, presentation 50.93 FPS, state running, stages capture 32.55 ms, processing 2.92 ms, RIFE 27.14 ms, retries 0, recoveries 0, recovery failures 0, fallbacks 0.
2026-08-29 22:47:19,501 | INFO | main | Preview refinement: previous sample 3.61 ms
2026-08-29 22:47:21,743 | INFO | frame_interpolator | RIFE stages (139 calls, 160x90 inference): preprocess 4.90 ms, inference 17.90 ms, postprocess 5.99 ms, total 28.80 ms, confidence 32.2%
2026-08-29 22:47:24,504 | INFO | main | Performance (last 60 frames): average FPS 56.38, median frame 70.68 ms, p95 frame 91.91 ms, dropped frames 66, pacing error 0.02 ms, scheduled 50817.618334, actual 50817.618352, late 0, generated-late drops 135, real-late drops 0, source 25.96 FPS, presentation 55.40 FPS, state running, stages capture 33.65 ms, processing 3.13 ms, RIFE 25.86 ms, retries 0, recoveries 0, recovery failures 0, fallbacks 0.
2026-08-29 22:47:24,504 | INFO | main | Preview refinement: previous sample 3.17 ms
2026-08-29 22:47:29,526 | INFO | main | Performance (last 60 frames): average FPS 59.07, median frame 48.56 ms, p95 frame 63.49 ms, dropped frames 67, pacing error 0.00 ms, scheduled 50822.641983, actual 50822.641988, late 0, generated-late drops 140, real-late drops 0, source 25.48 FPS, presentation 59.30 FPS, state running, stages capture 33.58 ms, processing 2.40 ms, RIFE 6.52 ms, retries 0, recoveries 0, recovery failures 0, fallbacks 0.
2026-08-29 22:47:29,526 | INFO | main | Preview refinement: previous sample 3.52 ms
2026-08-29 22:47:30,944 | INFO | wgc_capture | WGC capture closed for HWND 459162
