2026-08-28 22:48:31,600 | INFO | main | Loaded runtime profile from C:\Users\ruthr\Documents\Codex\2026-08-28\welcome-bnr-i-m-claude-bring\outputs\URFTS-Fixed\configs\runtime_profile.json
2026-08-28 22:48:31,600 | INFO | main | Active OpenCV threads: 8
2026-08-28 22:48:31,601 | INFO | main | Press Q to quit the preview.
2026-08-28 22:48:31,601 | INFO | main | ==================================================
2026-08-28 22:48:31,601 | INFO | main | Active frame processor: OpenCV CPU
2026-08-28 22:48:32,346 | INFO | main | Active frame generation: RIFE (DmlExecutionProvider, CPUExecutionProvider)
2026-08-28 22:48:32,353 | INFO | wgc_capture | WGC capture closed for HWND 721580
2026-08-28 22:48:37,374 | INFO | capture_manager | WGC support: available (Native Windows.Graphics.Capture and D3D11 APIs are present.)
2026-08-28 22:48:37,428 | INFO | wgc_capture | WGC initialized for HWND 721580 at 1282x759
2026-08-28 22:48:37,443 | INFO | wgc_capture | WGC acquired first frame at 1282x759
2026-08-28 22:48:37,444 | INFO | capture_manager | Selected capture backend: Windows Graphics Capture
2026-08-28 22:48:38,428 | INFO | main | Performance (last 1 frames): average FPS 0.00, median frame 51.46 ms, p95 frame 51.46 ms, dropped frames 41, pacing error 0.04 ms, scheduled 1538.506904, actual 1538.506945, late 0, generated-late drops 1, real-late drops 2, source 1.99 FPS, presentation 0.00 FPS, state running, retries 0, recoveries 0, recovery failures 0, fallbacks 0.
2026-08-28 22:48:43,437 | INFO | main | Performance (last 60 frames): average FPS 57.58, median frame 74.08 ms, p95 frame 93.68 ms, dropped frames 96, pacing error 5.18 ms, scheduled 1543.509881, actual 1543.515065, late 194, generated-late drops 16, real-late drops 26, source 25.31 FPS, presentation 53.18 FPS, state running, retries 0, recoveries 0, recovery failures 0, fallbacks 0.
2026-08-28 22:48:48,436 | INFO | main | Performance (last 60 frames): average FPS 51.37, median frame 80.50 ms, p95 frame 96.36 ms, dropped frames 125, pacing error 2.21 ms, scheduled 1548.513777, actual 1548.515985, late 369, generated-late drops 40, real-late drops 51, source 26.36 FPS, presentation 47.65 FPS, state running, retries 0, recoveries 0, recovery failures 0, fallbacks 0.
2026-08-28 22:48:53,444 | INFO | main | Performance (last 60 frames): average FPS 59.32, median frame 76.76 ms, p95 frame 94.74 ms, dropped frames 149, pacing error 0.24 ms, scheduled 1553.524614, actual 1553.524858, late 560, generated-late drops 51, real-late drops 78, source 24.98 FPS, presentation 56.43 FPS, state running, retries 0, recoveries 0, recovery failures 0, fallbacks 0.
2026-08-28 22:48:58,468 | INFO | main | Performance (last 60 frames): average FPS 56.08, median frame 80.64 ms, p95 frame 97.41 ms, dropped frames 154, pacing error 6.74 ms, scheduled 1558.539827, actual 1558.546563, late 796, generated-late drops 54, real-late drops 84, source 27.93 FPS, presentation 55.19 FPS, state running, retries 0, recoveries 0, recovery failures 0, fallbacks 0.
2026-08-28 22:49:03,482 | INFO | main | Performance (last 60 frames): average FPS 54.93, median frame 83.78 ms, p95 frame 99.30 ms, dropped frames 155, pacing error 12.99 ms, scheduled 1563.548869, actual 1563.561863, late 983, generated-late drops 66, real-late drops 107, source 27.37 FPS, presentation 50.64 FPS, state running, retries 0, recoveries 0, recovery failures 0, fallbacks 0.
2026-08-28 22:49:08,502 | INFO | main | Performance (last 60 frames): average FPS 57.98, median frame 77.15 ms, p95 frame 96.84 ms, dropped frames 176, pacing error 10.41 ms, scheduled 1568.571489, actual 1568.581896, late 1171, generated-late drops 77, real-late drops 130, source 24.35 FPS, presentation 55.96 FPS, state running, retries 0, recoveries 0, recovery failures 0, fallbacks 0.
2026-08-28 22:49:13,505 | INFO | main | Performance (last 60 frames): average FPS 55.42, median frame 79.23 ms, p95 frame 95.67 ms, dropped frames 182, pacing error 5.43 ms, scheduled 1573.579579, actual 1573.585013, late 1416, generated-late drops 78, real-late drops 138, source 27.57 FPS, presentation 56.10 FPS, state running, retries 0, recoveries 0, recovery failures 0, fallbacks 0.
2026-08-28 22:49:18,511 | INFO | main | Performance (last 60 frames): average FPS 51.76, median frame 82.32 ms, p95 frame 99.00 ms, dropped frames 212, pacing error 3.14 ms, scheduled 1578.587683, actual 1578.590818, late 1574, generated-late drops 114, real-late drops 169, source 26.61 FPS, presentation 50.68 FPS, state running, retries 0, recoveries 0, recovery failures 0, fallbacks 0.
2026-08-28 22:49:19,026 | INFO | wgc_capture | WGC capture closed for HWND 721580
2026-08-28 22:50:17,456 | INFO | main | ==================================================
2026-08-28 22:50:17,456 | INFO | main | UniversalUpscaler
2026-08-28 22:50:17,456 | INFO | main | Version: 0.1.0
2026-08-28 22:50:17,456 | INFO | main | Initializing...
2026-08-28 22:50:17,456 | INFO | main | Requested capture backend mode: Wgc
2026-08-28 22:50:17,456 | INFO | main | Requested upscaling method: Bilinear
2026-08-28 22:50:17,456 | INFO | main | Requested processing backend: OpenCV CPU
2026-08-28 22:50:17,456 | INFO | main | Requested frame processor: SHADER
2026-08-28 22:50:17,456 | INFO | main | Requested runtime pipeline: CPU
2026-08-28 22:50:17,456 | INFO | main | Preview enabled: True
2026-08-28 22:50:17,456 | INFO | main | ==================================================
2026-08-28 22:50:17,456 | INFO | main | Selected window: Subnautica Below Zero (HWND 721580), client area 1280x720 at 320,194
2026-08-28 22:50:17,458 | INFO | capture_manager | WGC support: available (Native Windows.Graphics.Capture and D3D11 APIs are present.)
2026-08-28 22:50:17,490 | INFO | wgc_capture | WGC initialized for HWND 721580 at 1282x759
2026-08-28 22:50:17,502 | INFO | wgc_capture | WGC acquired first frame at 1282x759
2026-08-28 22:50:17,502 | INFO | capture_manager | Selected capture backend: Windows Graphics Capture
2026-08-28 22:50:17,502 | INFO | main | Active capture backend: WGC
2026-08-28 22:50:17,519 | INFO | main | Available processing backends: OpenCV CPU, PyTorch CUDA
2026-08-28 22:50:17,521 | INFO | main | Loaded processing backend from runtime profile: OpenCV CPU
2026-08-28 22:50:17,521 | INFO | main | Active processing backend: OpenCV CPU
2026-08-28 22:50:17,521 | INFO | main | Loaded runtime profile from C:\Users\ruthr\Documents\Codex\2026-08-28\welcome-bnr-i-m-claude-bring\outputs\URFTS-Fixed\configs\runtime_profile.json
2026-08-28 22:50:17,522 | INFO | main | Active OpenCV threads: 8
2026-08-28 22:50:17,522 | INFO | main | Press Q to quit the preview.
2026-08-28 22:50:17,523 | INFO | main | ==================================================
2026-08-28 22:50:17,523 | INFO | main | Active frame processor: OpenCV CPU
2026-08-28 22:50:18,162 | INFO | main | Active frame generation: RIFE (DmlExecutionProvider, CPUExecutionProvider)
2026-08-28 22:50:18,179 | INFO | wgc_capture | WGC capture closed for HWND 721580
2026-08-28 22:50:23,191 | INFO | capture_manager | WGC support: available (Native Windows.Graphics.Capture and D3D11 APIs are present.)
2026-08-28 22:50:23,237 | INFO | wgc_capture | WGC initialized for HWND 721580 at 1282x759
2026-08-28 22:50:23,261 | INFO | wgc_capture | WGC acquired first frame at 1282x759
2026-08-28 22:50:23,261 | INFO | capture_manager | Selected capture backend: Windows Graphics Capture
